,portfolio,rates,fx,equity,rpnl::TU1 Comdty,rpnl::TY1 Comdty,rpnl::KE1 Comdty,rpnl::KAA1 Comdty,pos::TU1 Comdty,pos::TY1 Comdty,pos::KE1 Comdty,pos::KAA1 Comdty
2016-03-14,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-15,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2016-03-16,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-21,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-22,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2016-03-23,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2016-03-24,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2016-03-29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-30,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2016-04-04,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-05,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2016-04-06,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2016-04-07,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2016-04-08,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-11,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2016-04-12,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-13,0.0,0.0,0.0,1.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2016-04-14,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2016-04-15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-18,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2016-04-19,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-20,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-21,0.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2016-04-22,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2016-04-25,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2016-04-26,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-27,-5.858681346412645e-05,-1.9587925957898248e-05,-3.89988875062282e-05,0.9999414131865358,-4.800503525806134e-06,-8.126470449187146e-06,-4.658136855399958e-06,-2.002815127505008e-06,0.09601007051612268,-0.1625294089837429,0.09316273710799915,-0.040056302550100155
2016-04-28,-0.0017734101972578526,-0.00024571466093499175,-0.0015276955363228608,0.9981681068877304,5.2266460599417674e-05,-0.00027378205791561076,1.101527065510774e-05,-3.5214334273906405e-05,0.1841418889696889,-0.28827010913488715,0.181861967126038,-0.10236089496120969
2016-04-29,-0.0010786874905168945,9.183239951773252e-05,-0.001170519890034627,0.9970913954373977,-3.0866920385595603e-06,0.00015821940005003764,-1.5181774915108304e-05,-4.811853357863725e-05,0.2458757297408801,-0.3438021044490449,0.24420539776221126,-0.24459609257705828
2016-05-02,0.0013133630114289616,0.0009327326083699453,0.00038063040305901647,0.9984009383951793,-4.3338031847792765e-05,0.0008220440036368224,-7.546782919754762e-05,0.00022949446577846328,0.45745160625542347,-0.17703237177037048,0.4573830893222894,-0.35838997355005664
2016-05-03,-0.0028025282965754555,-0.000701362544541352,-0.0021011657520341037,0.9956028915139993,0.00026737306828919196,-0.0008400249406608466,0.00022308589249326398,-0.00035179656466296133,0.3713920370957665,-0.07277263264269555,0.3714072509271135,-0.49788283056297544
2016-05-04,0.0012615510278117916,-0.0007044076662584449,0.0019659586940702365,0.9968588953650811,8.623598691206371e-05,-9.665924128443975e-05,0.00014746511067369148,-0.0008414495225597604,0.12354207994462536,-0.04235072321843971,0.12209530534834648,-0.5536747929389538
2016-05-05,-0.0010738980929577966,-6.396254953742985e-05,-0.0010099355434203669,0.9957883704984005,2.8297287306881e-05,-7.881547091729879e-05,-1.2892207756167546e-05,-5.521581708445023e-07,-0.13143089410389136,-0.034492252497944687,-0.13574884977500443,-0.5647179563558439
2016-05-06,0.0006158753268924485,8.190394385747414e-05,0.0005339713830349742,0.996401651986597,2.3532333476723257e-05,7.042538793787306e-05,-1.1354737353792526e-05,-6.990402033296428e-07,-0.3549553015086977,-0.006250406988590569,-0.36284359685085493,-0.5786987604224367
2016-05-09,0.0030582425874192782,-0.0007737067331314151,0.003831949320550693,0.9994488899528774,-0.00018003159348328334,-1.2049950008886858e-05,-0.0002546189381528772,-0.0003270062514863678,-0.6324873240942228,0.016629558295318536,-0.6465627991919548,-0.545525401535346
2016-05-10,0.00016923397589794597,0.00015198123561404036,1.7252740283905726e-05,0.9996180306622309,0.00015604410423290105,-1.1298537013414057e-05,-7.750568903622327e-05,8.474135743077663e-05,-0.8971992336452174,0.024358834800178576,-0.9182463622667025,-0.4879441172033968
2016-05-11,0.0001751746991291703,0.0002191440219142143,-4.396932278504396e-05,0.9997931384499963,7.976520891828926e-05,3.506942818257318e-05,0.0002634176706200628,-0.00015910828580671093,-1.071525590847304,-0.015597117914214352,-1.096751526154597,-0.44072027249074963
2016-05-12,0.0017715535203525778,0.0005130680811483428,0.0012584854392042348,1.0015643255040418,0.00046697226108426376,9.607591793515994e-06,0.00014387302085784042,-0.0001073847925872774,-1.059163732645347,-0.11061677069785326,-1.086876481521426,-0.4166865789139795
2016-05-13,-0.00022807148620408247,0.0002931105792811496,-0.0005211820654852321,1.0013358972397952,-0.00015372142797852835,-0.0003593912574411727,0.0007060254056981106,0.00010019785900274005,-0.8647025318695252,-0.23730203167086078,-0.8873365812669355,-0.41278471601698574
2016-05-16,0.0016531675639617144,0.0016451410141503924,8.026549811322075e-06,1.0029912732657424,0.0005694110330906757,0.0007739824979154877,6.967532574085207e-05,0.00023207215740337681,-0.5254255506658605,-0.38006236576160546,-0.5354631079529577,-0.4129984339088082
2016-05-17,0.0008000236510234747,0.0015580205893365264,-0.0007579969383130515,1.0037936900061253,0.00037118504629408863,0.0004401410632064306,0.00015185444608043524,0.000594840033755572,-0.07556020791549048,-0.5240019211260197,-0.06356822852773755,-0.3678632799918348
2016-05-18,0.008218194972516652,0.002916347398718103,0.00530184757379855,1.0120430622627776,5.754046317366375e-05,0.002640589554280023,1.3477670965925401e-05,0.0002047397102984909,0.31466694847680754,-0.5880437313787126,0.3753615528496033,-0.32411717863453365
2016-05-19,0.0005038989305636513,0.0003853606006950259,0.00011853832986862532,1.0125530296795362,3.7272220036031243e-05,-0.00019226233746132617,-0.00023930594657271947,0.0007796566646930403,0.6340419630391537,-0.6360906445893889,0.7330001220341591,-0.2786187990006872
2016-05-20,-0.0019025284845524204,-0.0005110992388461935,-0.0013914292457062264,1.010626618698451,4.736355680288218e-05,-0.00041608328502039876,0.00046532327424210116,-0.0006077027848707781,0.9024470336998588,-0.661082779747497,1.0267917937982127,-0.2350796152910889
2016-05-23,0.0003279094304756109,-0.00044256777498082717,0.0007704772054564381,1.0109580126974118,-0.00032919721938784376,-0.0001430051394067295,8.864596284621979e-05,-5.901137903247368e-05,1.1247269108788984,-0.6755442676487569,1.2703514250876191,-0.18969837405833068
2016-05-24,0.0033074816124039614,0.001513531952631019,0.0017939496597729424,1.014301737735321,-0.00024923335440642664,0.0011930348380845487,0.0010295458061698754,-0.0004598153372169784,1.311988160772305,-0.6746536390723027,1.4692249532701775,-0.15112736979448407
2016-05-25,0.000681744479598619,-0.0006899926508224251,0.001371737130421044,1.0149932323456692,-0.00021137882253461528,0.000149199049023555,-0.0008698655405068704,0.00024205266319550565,1.4657623452707715,-0.6716384730119859,1.6247045831741753,-0.11831389511660992
2016-05-26,-0.0022067529931153853,-0.0006977216615771862,-0.0015090313315381993,1.0127533929921986,0.001276854528585965,-0.001624000846846564,-0.0003778367027148218,2.7261359398234655e-05,1.588191864327935,-0.6581980440825809,1.7601305890178727,-0.09148729268720146
2016-05-27,-0.001270438676693871,-0.00017807724960219726,-0.0010923614270916735,1.0114667519117884,-0.001127012090999743,0.0009510061452762982,0.00010924980964257516,-0.00011132111352132752,1.6877301383638685,-0.6421803263143299,1.8713141151328951,-0.07718165197009154
2016-05-30,-0.0022048664026915275,-0.0019155317402966415,-0.00028933466239488583,1.0092366028530584,-4.596777119788564e-06,-6.790635215481566e-07,-0.0021398626543042243,0.0002296067546489195,1.7796656807596398,-0.6285990558833667,1.946989609976751,-0.06747063850039943
2016-05-31,-0.006324613902681905,0.0010399121236296961,-0.0073645260263116,1.0028535710035584,0.000943896836776743,-0.00020781113854915202,0.00031484006162118264,-1.1013636219077492e-05,1.8532683826069114,-0.6121087235234492,2.0078494061761276,-0.06495347546985553
2016-06-01,-0.000405374559249657,0.002559561870087346,-0.002964936429337003,1.0024470396792209,-0.0006813175390451223,-0.0004033118719248975,0.003932952489331522,-0.0002887612082741565,1.937783547746643,-0.607814026624655,2.0302882515276077,-0.054658163994895856
2016-06-02,0.0023616676205768837,-0.0013206298948532016,0.003682297515430085,1.0048144863941744,0.0003840491221139941,-0.0014035987039329224,-0.0003313001306434894,3.0219817609216096e-05,1.9994058822271854,-0.613668203959029,2.042872042713805,-0.03896399969279833
2016-06-03,-0.00045312701563202974,0.0012971129013994941,-0.0017502399170315243,1.0043591778046908,0.0038696049212249587,-0.0038220771838729083,0.00132906093319768,-7.947576915023617e-05,2.0204500502781344,-0.6197440545789388,2.0819477511306546,-0.028556153011705745
2016-06-06,-0.001446207069004886,0.0006270142809167897,-0.002073221349921676,1.0029066664619297,-0.0008115481192015651,0.0014408046755125796,-1.7861276579710595e-06,-4.5614773625377807e-07,2.039729296037837,-0.6169021599262898,2.1176703042900757,-0.019433198286630184
2016-06-07,-0.002982191444411618,0.0008682146017441379,-0.003850406046155756,0.9999158067816636,0.0004130095249645216,-0.0007476989022437109,0.0012382102875285832,-3.530630850525603e-05,2.0613006757799455,-0.5991530334612348,2.1501009556345756,-0.006659815712958459
2016-06-08,0.0018413334427302142,0.001563557859006037,0.00027777558372417714,1.0017569851966053,0.00028164805771843334,-0.0005923919078097452,0.0018862145478194272,-1.1912838722078289e-05,2.0799556904284544,-0.5766255466304181,2.171028595853284,0.01550604600895954
2016-06-09,0.0021080075740589083,0.0020914590276930184,1.654854636588994e-05,1.0038686965087662,0.00028736464991564807,-0.0005700709912808144,0.002321297030164204,5.286833889398056e-05,2.1036404159061264,-0.5424605453165247,2.188405043151372,0.03998669837638386
2016-06-10,0.0029236325012979734,0.0012528207686399475,0.0016708117326580257,1.0068036396569149,0.0014418184009915497,-0.001599557315204091,0.0014127299177078532,-2.170234855364443e-06,2.1129634804007362,-0.5058641907661051,2.1973750951586566,0.08339139548367272
2016-06-13,0.001874619252541949,0.0005362249766770295,0.0013383942758649194,1.0086910131433449,0.0004354515253624865,-0.0009924585671855944,0.0008445085396570215,0.0002487234788431158,2.1251271409682353,-0.47203195800997305,2.2091641225995424,0.11335210748017212
2016-06-14,0.000300569818245772,-0.00217920732792955,0.002479777146175322,1.0089941952178314,-0.0002816017422201262,0.00010038866816092236,-0.0018412009868567704,-0.00015679326701357573,2.147155981537471,-0.43954424455900326,2.219567113037961,0.12947292373368027
2016-06-15,0.0009232567250190052,0.0010259626787814807,-0.00010270595376247549,1.0099257558940715,0.0019062229458930624,-0.001147070671042094,0.00014094905505564328,0.00012586134887486932,2.175699056911114,-0.4009262549525489,2.243894545996507,0.1280723520199599
2016-06-16,0.006748482573102614,0.0012759941378803867,0.005472488435222227,1.01674122225785,-0.0005804389435763666,0.00017073666594870303,0.001219884665069627,0.00046581175043842327,2.2166882095951532,-0.3569259029260368,2.277409907959895,0.09706601621720647
2016-06-17,0.00268617893581502,-0.0008916902713881328,0.0035778692072031522,1.019472371112254,-0.00027339481443053554,0.000653001133399125,-0.001096199568905078,-0.00017509702145164437,2.248977557308452,-0.3078587267957319,2.29969045601518,0.053360337122287285
2016-06-20,0.00028630392526879985,-0.002434028358292043,0.002720332283560843,1.0197642500538064,-0.001981255284255972,0.001577747518958767,-0.0018429837816452963,-0.0001875368113495419,2.2847970521234737,-0.2585382090551239,2.3173509860369266,0.018153125240138894
2016-06-21,-0.005686652636887673,0.0007459570854296028,-0.006432609722317276,1.013965204992234,-0.0006841326704619251,0.0002777015238971607,0.0011173547405059908,3.503349148837628e-05,2.3126284529738506,-0.21381777967135823,2.330944135378628,-0.016636129156784037
2016-06-22,-0.0008019175373675086,-0.00024315132181009581,-0.0005587662155574127,1.0131520885120704,0.0007582104553071672,-0.0002785807285206386,-0.0007481281228809636,2.5347074284339157e-05,2.3370285875114116,-0.17621121465108874,2.339498820905486,-0.04648257426056031
2016-06-23,-0.0037835229512088457,0.000730292126338601,-0.004513815077547447,1.0093188043321197,-0.0013826764033183913,0.0006646651549211049,0.0014866831877549498,-3.837981301906234e-05,2.3574640704994283,-0.140342194125035,2.3545401239871944,-0.06577701363420838
2016-06-24,-0.014681572241821594,0.009586749290844073,-0.024268321532665667,0.9945004173912887,0.005979381852080768,-0.0016333565924091904,0.005905219507249019,-0.0006644954760765227,2.3435971333705115,-0.08963400470442022,2.3360813158994427,-0.11990676605363046
2016-06-27,-0.007667157433381663,0.0014857199946023167,-0.00915287742798398,0.9868754261235859,0.0013027719642740945,-0.0006875109214139221,0.0010387131962110953,-0.00016825424446895095,2.3244779625544227,-0.07762214226714227,2.317068678935695,-0.19220659158425588
2016-06-28,-0.002967324962796004,-0.0012353077302699016,-0.001732017232526102,0.9839470460364794,-0.00076379253727331,0.00013869425857805184,-0.000591137380951205,-1.907207062343834e-05,2.297964566715475,-0.08052788560858835,2.2875394770178623,-0.2630683702468089
2016-06-29,-0.005005712525924152,-0.0006530883579533758,-0.004352624167970776,0.9790216899832885,-0.0009025874744215918,0.0002451994300764634,0.0005817334818216948,-0.0005774337954299423,2.2758268384907057,-0.07234082982629166,2.26272790945941,-0.3323846612619157
2016-06-30,-0.00783353684897238,0.0015597055935494038,-0.009393242442521786,0.9713524874988613,0.002080483234395346,-0.00020605923997706751,-0.0005790686854546059,0.00026435028458573107,2.2423251643694746,-0.04522924023216973,2.2245858186253407,-0.4171971200311863
2016-07-01,0.0003003508893637502,0.0003692557589750293,-6.89048696112791e-05,0.9716442340823672,-0.0002779003348627221,-7.199335176489053e-05,0.0029812153290028425,-0.002262065883400201,2.216666935715392,-0.02393750327732144,2.1846341495889674,-0.49373950751437423
2016-07-04,0.00012107691424994362,-0.00037359750338269895,0.0004946744176326426,0.9717618777679786,-1.0779562185902815e-06,-8.270449791787439e-07,-0.0010438487072932843,0.0006721562051083544,2.1951078113435862,-0.007396603693746563,2.149233891975695,-0.5599373713164258
2016-07-05,0.005479569686742557,0.0021667335391165276,0.003312836147626029,0.977086714696128,0.0014088089713292988,-3.165917209653573e-05,0.00047690861898571897,0.0003126751208980456,2.185281224644176,0.000272537806062254,2.1322230162823828,-0.5997291972645362
2016-07-06,0.00031952098380458316,-0.0021226192899833985,0.0024421402737879816,0.97739891440447,-0.0009788565235152697,-5.220307535671597e-07,0.0008796363797114786,-0.00202287711542604,2.185707382405463,-0.012452055445301787,2.1288161394068315,-0.6065931423908368
2016-07-07,-0.002197861042968723,-0.0010876103118490992,-0.0011102507311196237,0.9752507274070605,-0.00042274324171598496,1.1980263238643644e-05,-0.0006767322185910145,-1.1511478074315851e-07,2.185978187684259,-0.030660063801052684,2.1259258768658262,-0.6042908467759737
2016-07-08,3.4362591444208734e-05,-0.0006797597580076884,0.0007141223494518971,0.9752842395493622,-0.0005612093326580865,-5.290764247416615e-05,-0.0004047846824024088,0.0003391418995269731,2.1850608248177825,-0.06643968770492266,2.122708272580366,-0.5832751944800291
2016-07-11,-0.011009082121214403,-0.001471993245755821,-0.009537088875458583,0.964547255264637,-0.001705339122641417,0.0002940262216192594,0.0002691858347622371,-0.0003298661794959005,2.1844677251338873,-0.09817078769894895,2.1282641645402522,-0.5550845058427281
2016-07-12,-0.009159466180640594,-0.0008285821710159321,-0.008330884009624664,0.955712517300411,-0.0012823720915378228,0.0004808258966583886,-0.0003383214806503159,0.000311285504513818,2.1877183985145265,-0.11536230555980873,2.1405762797399817,-0.5291327623492722
2016-07-13,0.004356822968915113,0.0014139914080517676,0.0029428315608633453,0.959876387547465,0.0008540327499735831,-0.0002541249325701125,0.00047484571094938286,0.000339237879698914,2.19420797596614,-0.1284348236504202,2.15508126772259,-0.5005077291859306
2016-07-14,-0.0063504182919681676,-0.0001893441124580104,-0.0061610741795101575,0.9537807709779552,-0.0002893025379459771,0.0004844243193057317,0.00034119447463264554,-0.0007256603684504105,2.200922275857208,-0.12382023100142212,2.1704589432828234,-0.48738398666305627
2016-07-15,-0.001213984857678398,-0.00013221743301980915,-0.0010817674246585886,0.9526228955644431,0.00020768026043461508,0.00011550449812470076,-0.0009650813202417454,0.0005096791286626203,2.203183221743079,-0.10539992543715553,2.1831444409583076,-0.4943407608561909
2016-07-18,-0.0015611513288420116,-0.0001990304447539755,-0.0013621208840880364,0.9511357070651474,-0.000799192590949133,0.00019964766492794558,-0.0005543153222991916,0.0009548298035664036,2.20684158430155,-0.08139877918513125,2.1928640574408713,-0.5019079354749512
2016-07-19,0.0007838269774252921,0.0005779652059830236,0.00020586177144226836,0.9518812328915375,-4.08396030745135e-06,-0.0001464584725552147,0.00048634815853558483,0.00024215948031010477,2.2171334714916213,-0.06569017786794361,2.2080872347844047,-0.49549900050896306
2016-07-20,-0.002899957243747134,-0.0006196902445559998,-0.0022802669991911335,0.9491208180150267,-0.0007283934198143705,0.0001101977553112416,-8.071006960438165e-07,-6.874793568270977e-07,2.2269435275008567,-0.05620571768712914,2.224229248705281,-0.4817494133724211
2016-07-21,0.0020111241811599924,0.0011496140192133763,0.0008615101619466163,0.951029617842979,0.001163793656778457,-8.348587788912038e-05,-0.000706059820518919,0.0007753660608429587,2.235805807152252,-0.04694134309407348,2.238266245033189,-0.4702889300243755
2016-07-22,-0.0021322549755404658,-0.0012450350944370585,-0.0008872198811034073,0.9490017802084469,-0.0008945166629592866,2.9577276736637615e-05,0.0005680537598785658,-0.0009481494680929753,2.238171425588696,-0.04556380587831952,2.246089071337916,-0.4632175569438152
2016-07-25,0.0006419809896992922,-0.0007932123781200554,0.0014351933678193477,0.9496110213105317,-0.001112301889677651,1.8311837747519814e-05,-7.164268485956117e-05,0.000372420358669637,2.2377237533906538,-0.05936057841687924,2.2527842826794298,-0.44456487286720686
2016-07-26,0.001363558740314308,-0.001012138361760148,0.002375697102074456,0.9509058717185384,-0.0007499466037041294,-4.504318199767947e-05,0.00035752887710245015,-0.0005746774531607894,2.2346110180129775,-0.08644983785720144,2.2552413935756914,-0.4192445400575158
2016-07-27,-0.0013761219339816669,0.0004929537286012316,-0.0018690756625828987,0.9495973092913146,0.0012799671649240932,-0.0003382833195711908,-0.00014331616020201286,-0.0003054139565496578,2.225294205133504,-0.11917034604290865,2.2571472739366363,-0.39482560613310513
2016-07-28,0.0008118814650582952,0.00032875196690729204,0.00048312949815100325,0.9503682697459975,0.0004241771272249475,4.836679980085858e-05,0.0012893073298988823,-0.0014330992900173963,2.217103902270619,-0.14337017774396318,2.253995356924655,-0.3826805077145928
2016-07-29,0.010781532561323599,0.0012861753896515212,0.009495357171672075,0.9606146961915129,0.0018341034150407747,-0.0004507110098710884,-0.0009306072707855829,0.0008333902552674179,2.2040555485994155,-0.16130264757756177,2.256407873887133,-0.37595388527915696
2016-08-01,-0.003523603948106436,-0.0004759865982362472,-0.0030476173498701887,0.9572298704554033,-0.0010525042591138492,0.0006743842218331167,0.00035798706189065605,-0.0004558536228461708,2.191689761284096,-0.1656133021952724,2.2581816633005958,-0.3826912371013251
2016-08-02,0.0036541026108572474,0.0004080107559966535,0.0032460918548605938,0.9607276866242249,0.0002128161727087242,0.0003450865683196901,-0.00086008153292211,0.0007101895478903493,2.1846402027437573,-0.1529164036616244,2.2581541799600835,-0.4028299843012317
2016-08-03,-0.0016642008434570043,-0.0003266789155100566,-0.0013375219279469477,0.9591288427978124,0.0004248784800676861,-0.0001289898448905371,-0.0017933965321450865,0.001170828981457881,2.1831507260912306,-0.1334684990220921,2.2486301449519845,-0.4335832459516444
